USER_CLONE_ID	WELL_ID	CHROMOSOME	SUBARRAY_ROW	SUBARRAY_COL	SPOT_ROW	SPOT_COL	SpotNum
RP11-111J6	HumArray2H9_A1	2	1	1	1	1	1
RP11-111J6	HumArray2H9_A1	2	1	1	1	2	2
RP11-111J6	HumArray2H9_A1	2	1	1	1	3	3
RP11-53F19	HumArray2H9_A5	13	1	1	1	4	4
RP11-53F19	HumArray2H9_A5	13	1	1	1	5	5
RP11-53F19	HumArray2H9_A5	13	1	1	1	6	6
RP11-277N18	HumArray2H9_A9	5	1	1	1	7	7
RP11-277N18	HumArray2H9_A9	5	1	1	1	8	8
RP11-277N18	HumArray2H9_A9	5	1	1	1	9	9
RP11-176L22	HumArray2H9_A13	2	1	1	1	10	10
RP11-176L22	HumArray2H9_A13	2	1	1	1	11	11
RP11-176L22	HumArray2H9_A13	2	1	1	1	12	12
RP11-19J14	HumArray2H9_A17	13	1	1	1	13	13
RP11-19J14	HumArray2H9_A17	13	1	1	1	14	14
RP11-19J14	HumArray2H9_A17	13	1	1	1	15	15
RP11-28E3	HumArray2H9_A21	10	1	1	1	16	16
RP11-28E3	HumArray2H9_A21	10	1	1	1	17	17
RP11-28E3	HumArray2H9_A21	10	1	1	1	18	18
RP11-86K9	HumArray2H9_A25	10	1	1	1	19	19
RP11-86K9	HumArray2H9_A25	10	1	1	1	20	20
RP11-86K9	HumArray2H9_A25	10	1	1	1	21	21
RP11-71J7	HumArray2H9_A29	2	1	1	2	1	22
RP11-71J7	HumArray2H9_A29	2	1	1	2	2	23
RP11-71J7	HumArray2H9_A29	2	1	1	2	3	24
RP11-60P2	HumArray2H9_A33	15	1	1	2	4	25
RP11-60P2	HumArray2H9_A33	15	1	1	2	5	26
RP11-60P2	HumArray2H9_A33	15	1	1	2	6	27
RP11-12C9	HumArray2H9_E1	19	1	1	2	7	28
RP11-12C9	HumArray2H9_E1	19	1	1	2	8	29
RP11-12C9	HumArray2H9_E1	19	1	1	2	9	30
RP11-2P4	HumArray2H9_E5	6	1	1	2	10	31
