Probe Set ID,chr,bp_start
1007_s_at,6,30964144
1053_at,7,73283938
117_at,1,159761072
121_at,2,113691410
1255_g_at,6,42248919
1294_at,3,49817643
1316_at,17,35472681
1320_at,14,88004233
1405_i_at,17,31222639
1431_at,10,135190889
1438_at,3,185762717
1487_at,11,63829619
1494_f_at,19,46286211
1598_g_at,13,113546912
160020_at,14,22375647
1729_at,16,65745604
1773_at,14,64523406
177_at,3,172803286
179_at,7,76448201
1861_at,11,63793877
200000_s_at,17,1500673
200001_at,19,41322756
200002_at,1,235211238
200003_s_at,19,60589126
200004_at,11,10775177
200005_at,22,35236848
200006_at,1,7945426
200007_at,15,38115534
200008_s_at,1,72512821
200009_at,10,5847191
200010_at,1,23891684
200011_s_at,12,47616258
200012_x_at,1,22107144
200013_at,20,21043330
200014_s_at,15,77315641
200015_s_at,2,241903457
200016_x_at,11,73743064
200017_at,1,190951897
200018_at,15,50174765
200019_s_at,11,64644678
200020_at,1,10995315
200021_at,11,65378883
200022_at,16,74826420
200023_s_at,11,7965469
200024_at,19,63590482
200025_s_at,17,38404285
200026_at,1,166446465
200027_at,18,53418893
200028_s_at,2,96214331
200029_at,17,34610096
200030_s_at,12,97511605
200031_s_at,12,131912349
200032_s_at,14,34801389
200033_at,17,59926201
200034_s_at,1,240061836
200035_at,3,115086805
200036_s_at,6,35544174
200037_s_at,7,26207925
200038_s_at,1,109336411
200039_s_at,1,35841327
200040_at,1,32252077
200041_s_at,6,31606001
200042_at,22,31113566
200043_at,14,68916598
200044_at,12,119383853
200045_at,6,30647155
200046_at,14,22103646
200047_s_at,14,99774854
200048_s_at,1,152213611
200049_at,17,45221153
200050_at,19,41411487
200051_at,11,65485789
200052_s_at,1,151901144
200053_at,17,4803245
200054_at,11,116154486
200055_at,11,6588648
200056_s_at,10,32839565
200057_s_at,X,70420226
200058_s_at,17,60176983
200059_s_at,3,49371933
200060_s_at,4,10982572
200061_s_at,10,79465114
200062_s_at,8,99123129
200063_s_at,1,27405920
200064_at,4,89032294
200065_s_at,1,226337051
200066_at,5,140007567
200067_x_at,6,108639118
200068_s_at,5,179058617
200069_at,12,107440122
200070_at,2,219744863
200071_at,10,112042497
200072_s_at,19,8415650
200073_s_at,4,83494147
200074_s_at,12,61645366
200075_s_at,1,226394613
200076_s_at,19,18529603
200077_s_at,19,2220537
200078_s_at,1,44213234
200079_s_at,16,74219293
200080_s_at,1,224317050
200081_s_at,9,19190301
200082_s_at,2,3600783
200083_at,17,20843497
200084_at,11,16716769
200085_s_at,16,2761416
200086_s_at,16,84390831
200087_s_at,12,122640866
200088_x_at,2,203753923
200089_s_at,15,64578709
200090_at,13,21003107
200091_s_at,11,118391639
200092_s_at,11,67206775
200093_s_at,5,130522879
200094_s_at,19,3927054
200095_x_at,16,29543372
200096_s_at,5,172343389
200097_s_at,3,97550901
200098_s_at,12,120230432
200099_s_at,10,86310178
200593_s_at,1,243084330
200594_x_at,1,243083612
200595_s_at,10,120784546
200596_s_at,10,120783175
200597_at,10,120783175
200598_s_at,12,102848289
200599_s_at,12,102848318
200600_at,5,25945275
200601_at,19,43829920
200602_at,21,26174732
200603_at,17,64020174
200604_s_at,17,64020188
200605_s_at,17,64020203
200606_at,6,7486868
200607_s_at,8,117927353
200608_s_at,8,117927354
200609_s_at,4,9685202
200610_s_at,2,232027862
200611_s_at,4,9685872
200612_s_at,17,30938405
200613_at,3,185377430
200614_at,17,55052102
200615_s_at,17,30938405
200616_s_at,12,119609360
200617_at,12,119609354
200618_at,17,34279893
200619_at,11,65576453
200620_at,1,54270277
200621_at,1,199719282
200622_x_at,19,51796388
200623_s_at,19,51796408
200624_s_at,5,138657278
200625_s_at,1,40279014
200626_s_at,5,138670750
200627_at,2,25898740
200628_s_at,14,99870609
200629_at,14,99869880
200630_x_at,3,157187896
200631_s_at,3,157187896
200632_s_at,8,134318600
200633_at,17,16225135
200634_at,1,169906042
200635_s_at,1,43769133
200636_s_at,1,43769133
200637_s_at,1,43769133
200638_s_at,10,23465770
200639_s_at,10,23465845
200640_at,10,23465845
200641_s_at,10,23465770
200642_at,21,31953953
200643_at,2,241817302
200644_at,1,32572051
200645_at,17,7084463
200646_s_at,19,54095412
200647_x_at,16,28630284
200648_s_at,1,180620038
200649_at,19,54095852
200650_s_at,1,233967818
200651_at,5,180596556
200652_at,1,154245468
200653_s_at,14,89933240
200654_at,17_,andom
200655_s_at,14,89933128
200656_s_at,17_,andom
200657_at,7,32477567
200658_s_at,17,44836413
200659_s_at,16,51526164
200660_at,1,150271605
200661_at,20,43953612
200662_s_at,11,76702229
200663_at,12,54405524
200664_s_at,19,14486581
200665_s_at,5,151022190
200666_s_at,19,14486581
200667_at,20,5219750
200668_s_at,20,5220208
200669_s_at,20,5220800
200670_at,22,27520547
200671_s_at,2,54607010
200672_x_at,2,54607010
200673_at,2,20095892
200674_s_at,3,25765953
200675_at,11,2355128
200676_s_at,22,20252018
200677_at,21,45093940
200678_x_at,17,39778173
200679_x_at,13,29932583
200680_x_at,2,218773356
200681_at,6,38751697
200682_s_at,22,20252007
200683_s_at,22,20252007
200684_s_at,22,20252007
200685_at,1,70443952
200686_s_at,1,70443994
200687_s_at,16,69115246
200688_at,16,69155309
200689_x_at,7,124460725
200690_at,5,137918164
200691_s_at,2,222534659
200692_s_at,2,222534672
