Probe_Id,chr,bp_start
ILMN_1725881,16,21766363
ILMN_1910180,,
ILMN_1804174,,
ILMN_1761580,11,35786273
ILMN_1668162,X,63280932
ILMN_1715600,10,92811754
ILMN_1912287,,
ILMN_1793729,15,73290721
ILMN_1889125,,
ILMN_1711283,5,135929759
ILMN_1682799,10,90672973
ILMN_1909767,,
ILMN_1840770,,
ILMN_1906209,,
ILMN_1665311,17,41432579
ILMN_1657235,19,14025431
ILMN_1655444,5,70239388
ILMN_1816369,,
ILMN_1711453,12,10023039
ILMN_1656744,,
ILMN_1679194,,
ILMN_1755897,,
ILMN_1761911,1,141745308
ILMN_1807467,5,73172341
ILMN_1652609,5,73240995
ILMN_1720944,X,69074497
ILMN_1818577,,
ILMN_1891652,,
ILMN_1704173,22,4603661
ILMN_1867080,,
ILMN_1817791,,
ILMN_1660232,12,7176605
ILMN_1769158,19,60656282
ILMN_1849912,,
ILMN_1685237,16,48697658
ILMN_1761836,1,52611428
ILMN_1773202,6,64555125
ILMN_1881453,,
ILMN_1868399,,
ILMN_1849784,,
ILMN_1797082,7,17886835
ILMN_1865992,,
ILMN_1684031,12,55708687
ILMN_1846574,,
ILMN_1901891,,
ILMN_1693210,8,121703009
ILMN_1825013,,
ILMN_1833369,,
ILMN_1671073,3,156280866
ILMN_1775074,10,128640218
ILMN_1779257,20,41498901
ILMN_1684523,,
ILMN_1901057,,
ILMN_1822159,,
ILMN_1809344,11,13366633
ILMN_1870674,,
ILMN_1909228,,
ILMN_1762281,9,34603805
ILMN_1734742,17,
ILMN_1903204,,
ILMN_1699459,4,166069486
ILMN_1655684,19,44097828
ILMN_1735832,,
ILMN_1667019,,
ILMN_1754567,,
ILMN_1686807,,
ILMN_1671123,,
ILMN_1766125,19,5643097
ILMN_1654249,2,149377139
ILMN_1685369,5,154924098
ILMN_1652478,16,14897002
ILMN_1702114,16,14858575
ILMN_1678730,16,14888194
ILMN_1801608,1,126203668
ILMN_1744897,1,
ILMN_1653709,14,57945490
ILMN_1842887,,
ILMN_1864136,,
ILMN_1828584,,
ILMN_1688702,,
ILMN_1807393,2,106423671
ILMN_1670130,19,923539
ILMN_1765971,2,223282730
ILMN_1842785,,
ILMN_1913478,,
ILMN_1659166,12,82334816
ILMN_1810533,12,82310858
ILMN_1816392,,
ILMN_1888978,,
ILMN_1803649,4,20078271
ILMN_1739335,,
ILMN_1803834,16,28315037
ILMN_1884223,,
ILMN_1814985,5,176850507
ILMN_1830990,,
ILMN_1911503,,
ILMN_1680462,,
ILMN_1697733,,
ILMN_1658713,13,23949341
ILMN_1662791,10,33205452
ILMN_1839575,,
ILMN_1904521,,
ILMN_1653767,13,7613528
ILMN_1702698,5,152272279
ILMN_1814002,6,35549426
ILMN_1708151,X,
ILMN_1765085,20,5866794
ILMN_1719796,,
ILMN_1916470,,
ILMN_1663616,17,37387399
ILMN_1768281,,
ILMN_1665246,21,28948775
ILMN_1757172,,
ILMN_1813027,5,180594849
ILMN_1704019,12,120425368
ILMN_1673969,13,5968677
ILMN_1906350,,
ILMN_1830953,,
ILMN_1788605,13,51780394
ILMN_1735484,13,51806435
ILMN_1681755,13,51691713
ILMN_1759879,13,51762063
ILMN_1896142,,
ILMN_1708110,4,159395657
ILMN_1815649,5,88249254
ILMN_1850203,,
ILMN_1736555,15,33815800
ILMN_1651584,12,102949076
ILMN_1802808,,
ILMN_1664176,14,91406198
ILMN_1781131,16,4872218
ILMN_1870093,,
ILMN_1818740,,
ILMN_1762294,1,121909306
ILMN_1687035,1,121909204
ILMN_1868638,,
ILMN_1914290,,
ILMN_1907318,,
ILMN_1897178,,
ILMN_1697634,,
ILMN_1890347,,
ILMN_1844099,,
ILMN_1758315,3,144467024
ILMN_1820212,,
ILMN_1661643,X,97531171
ILMN_1862383,,
ILMN_1864104,,
ILMN_1663988,,
ILMN_1681234,1,123052117
ILMN_1660985,,
ILMN_1870085,,
ILMN_1654759,,
ILMN_1834238,,
ILMN_1857631,,
ILMN_1710329,15,25265929
ILMN_1813671,22,2784537
ILMN_1700633,14,3199383
ILMN_1660869,7,147965225
ILMN_1752229,19,44672927
ILMN_1734794,X,47427994
ILMN_1698978,X,47437114
ILMN_1874575,,
ILMN_1869184,,
ILMN_1858152,,
ILMN_1885666,,
ILMN_1806304,8,21835869
ILMN_1838780,,
ILMN_1682864,16,1749686
ILMN_1668532,20,58949416
ILMN_1752622,1,184884739
ILMN_1680856,X,
ILMN_1691884,5,167837074
ILMN_1856234,,
ILMN_1907917,,
ILMN_1662470,10,65382959
ILMN_1726225,3,168646930
ILMN_1666804,,
ILMN_1874207,,
ILMN_1861120,,
ILMN_1864704,,
ILMN_1882485,,
ILMN_1811335,15,32487155
ILMN_1746378,17,37594936
ILMN_1658074,X,73441284
ILMN_1792571,17,8120801
ILMN_1760922,12,107407110
ILMN_1761348,19,62811134
ILMN_1763136,12,14867496
ILMN_1838179,,
ILMN_1823031,,
ILMN_1861392,,
ILMN_1665887,15,76365454
ILMN_1700679,,
ILMN_1797975,X,64650807
ILMN_1870737,,
ILMN_1867272,,
ILMN_1850881,,
ILMN_1888359,,
ILMN_1869651,,
ILMN_1846157,,
ILMN_1859863,,
ILMN_1661657,11,3615180
ILMN_1665144,10,75143093
ILMN_1660541,1,231267947
ILMN_1885152,,
ILMN_1852349,,
ILMN_1873650,,
ILMN_1653496,1,153588205
ILMN_1765208,1,153596662
ILMN_1740545,,
ILMN_1656913,2,63686024
ILMN_1861265,,
ILMN_1656837,3,140719986
ILMN_1894535,,
ILMN_1881784,,
ILMN_1888264,,
ILMN_1656196,2,11503042
ILMN_1700923,1,63073085
ILMN_1780834,2,219845081
ILMN_1880790,,
ILMN_1875351,,
ILMN_1673605,,
ILMN_1852378,,
ILMN_1915908,,
ILMN_1697519,1,122159994
ILMN_1892499,,
ILMN_1821269,,
ILMN_1792622,,
ILMN_1734781,9,21471279
ILMN_1743784,17,18179606
ILMN_1811933,17,18172105
ILMN_1702729,19,55064129
ILMN_1897109,,
ILMN_1732575,17,72724294
ILMN_1797102,2,106789568
ILMN_1779915,,
ILMN_1825659,,
ILMN_1850461,,
ILMN_1685002,11,66370375
ILMN_1663657,,
ILMN_1910028,,
ILMN_1662800,14,93544799
ILMN_1873154,,
ILMN_1825085,,
ILMN_1826165,,
ILMN_1674201,X,108699578
ILMN_1730706,19,50669949
ILMN_1899012,,
ILMN_1785462,13,24459125
ILMN_1810069,2,208326913
ILMN_1771182,15,97617254
ILMN_1706960,10,24497712
ILMN_1819410,,
ILMN_1665463,1,198360510
ILMN_1851729,,
ILMN_1858084,,
ILMN_1879823,,
ILMN_1755832,19,15131676
ILMN_1773301,,
ILMN_1700316,11,74134847
ILMN_1682520,1,52606713
ILMN_1655922,,
ILMN_1712799,Y,20077051
ILMN_1711269,4,172886042
ILMN_1891280,,
ILMN_1662792,11,104964420
ILMN_1716579,,
ILMN_1811592,10,24534129
ILMN_1690035,16,2941067
ILMN_1865695,,
ILMN_1688034,17,52370687
ILMN_1678390,10,75110121
ILMN_1752213,7,72026403
ILMN_1898216,,
ILMN_1681076,5,177316133
ILMN_1738589,3,129023857
ILMN_1657708,3,128890930
ILMN_1708890,10,42004028
ILMN_1690566,10,42015390
ILMN_1820820,,
ILMN_1728301,10,26252511
ILMN_1831936,,
ILMN_1651517,5,122765773
ILMN_1653077,,
ILMN_1731397,8,25639115
ILMN_1759870,2,138136
ILMN_1744887,9,5290216
ILMN_1775646,,
ILMN_1661939,22,8151360
ILMN_1762207,22,8271426
ILMN_1862169,,
ILMN_1812474,3,101950004
ILMN_1747192,18,26482052
ILMN_1654732,,
ILMN_1737715,,
ILMN_1834933,,
ILMN_1913709,,
ILMN_1793950,14,19058193
ILMN_1827737,,
ILMN_1785297,7,139454722
ILMN_1801776,19,48463849
ILMN_1885614,,
ILMN_1669281,16,28396335
ILMN_1672961,,
ILMN_1891067,,
ILMN_1699520,2,40195949
ILMN_1799115,12,96206233
ILMN_1758392,12,96199741
ILMN_1856860,,
ILMN_1723113,20,41078525
ILMN_1720255,,
ILMN_1668847,16,55837210
ILMN_1777340,11,114559000
ILMN_1898596,,
ILMN_1853152,,
ILMN_1797281,2,112908292
ILMN_1672600,,
ILMN_1911808,,
ILMN_1652940,22,4631213
ILMN_1785202,2,191603958
ILMN_1696468,16,56755202
ILMN_1851396,,
ILMN_1846200,,
ILMN_1802702,10,134111899
ILMN_1884041,,
ILMN_1859725,,
ILMN_1822495,,
ILMN_1880280,,
ILMN_1697872,21,42317944
ILMN_1758823,22,7164410
ILMN_1656882,16,33512939
ILMN_1689004,16,3012033
ILMN_1718259,19,42098832
ILMN_1712605,19,42090679
ILMN_1793065,20,57034399
ILMN_1812041,3,120406511
ILMN_1669826,7,158125811
ILMN_1782782,19,4859219
ILMN_1764754,2,230612585
ILMN_1875735,,
ILMN_1719344,,
ILMN_1891523,,
ILMN_1688413,14,77254035
ILMN_1779998,1,217090277
ILMN_1694502,12,55421551
ILMN_1661078,15,38430532
ILMN_1907648,,
ILMN_1803528,3,171040057
ILMN_1703425,12,125787650
ILMN_1662306,3,121907552
ILMN_1692326,1,12862490
ILMN_1828491,,
ILMN_1753729,3,187944276
ILMN_1900248,,
ILMN_1888546,,
ILMN_1714586,3,87070266
ILMN_1696087,12,6945071
ILMN_1811387,21,29149455
ILMN_1665696,1,126403392
ILMN_1717013,,
ILMN_1900224,,
ILMN_1729874,19,14771219
ILMN_1752320,7,66461617
ILMN_1901019,,
ILMN_1769116,9,138969642
ILMN_1740586,1,18547842
ILMN_1793509,2,208877893
ILMN_1742197,2,208878030
ILMN_1859750,,
ILMN_1741727,2,37453335
ILMN_1845700,,
ILMN_1670177,,
ILMN_1907448,,
ILMN_1909663,,
ILMN_1897989,,
ILMN_1881003,,
ILMN_1664724,,
ILMN_1673104,7,153090843
ILMN_1784040,19,55553808
ILMN_1842951,,
ILMN_1916364,,
ILMN_1908253,,
ILMN_1681057,,
ILMN_1716555,9,67374725
ILMN_1863660,,
ILMN_1823304,,
ILMN_1758928,,
ILMN_1876466,,
ILMN_1860151,,
ILMN_1785324,14,63991334
ILMN_1766457,17,74595881
ILMN_1776850,19,3892147
ILMN_1656812,19,3890965
ILMN_1654185,,
ILMN_1856691,,
ILMN_1728979,2,130613713
ILMN_1839953,,
ILMN_1669663,22,21852649
ILMN_1913965,,
ILMN_1884638,,
ILMN_1884969,,
ILMN_1788415,8,125065612
ILMN_1722440,1,26399946
ILMN_1906555,,
ILMN_1833359,,
ILMN_1849882,,
ILMN_1774071,19,48558201
ILMN_1760529,4,172860000
ILMN_1817255,,
ILMN_1837280,,
ILMN_1782247,17,37518751
